"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"11/22/2020","28","PM2.5","Brockton Buckley","25-023-0005","AQS","2","25","1","7","28","17"
"11/23/2020","30","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","28","1","13","30","27"
"11/24/2020","29","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","29","4","6","23","24"
"11/25/2020","51","PM2.5","VON HILLERN ST","25-025-0044","AQS","9","26","3","12","51","38"
"11/26/2020","45","PM2.5","ChelmsfordNR","25-017-0010","AQS","9","33","1","13","45","28"
"11/27/2020","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","16","3","10","38","25"
"11/28/2020","36","PM2.5","ChelmsfordNR","25-017-0010","AQS","3","27","1","9","36","23"
"11/29/2020","38","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","5","28","1","11","38","31"
"11/30/2020","64","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","7","35","3","29","64","32"
"12/01/2020","48","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","2","33","1","23","48","28"
"12/02/2020","27","Ozone","LYNN WATER TREATMENT PLANT","25-009-2006","AQS","2","27","1","14","22","23"
"12/03/2020","34","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","30","3","18","34","29"
"12/04/2020","41","PM2.5","Brockton Buckley","25-023-0005","AQS","3","30","3","36","41","28"
"12/05/2020","32","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","3","27","3","11","32","19"
"12/06/2020","29","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","29","1","3","18","10"
"12/07/2020","30","Ozone","MOOSEHILL SCHOOL","33-015-0018","AQS","2","30","1","6","25","30"
"12/08/2020","32","PM2.5","BOSTON KENMORE SQ","25-025-0002","AQS","2","28","4","7","32","23"
"12/09/2020","43","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","23","1","13","43","30"
"12/10/2020","45","PM2.5","Brockton Buckley","25-023-0005","AQS","5","23","3","11","45","30"
"12/11/2020","57","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","25","3","21","57","34"
"12/12/2020","64","PM2.5","BOSTON KENMORE SQ","25-025-0002","AQS","10","27","3","18","64","35"
"12/13/2020","45","PM2.5","BOSTON KENMORE SQ","25-025-0002","AQS","5","28","1","10","45","23"
"12/14/2020","33","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","26","3","8","33","27"
"12/15/2020","30","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","28","4","11","30","23"
"12/16/2020","31","Ozone","Brockton Buckley","25-023-0005","AQS","3","31","3","11","28","27"
"12/17/2020","61","PM2.5","CONSENTINO SCHOOL.","25-009-5005","AQS","2","35","6","12","61","24"
"12/18/2020","40","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","31","3","7","40","36"
"12/19/2020","57","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","26","6","20","57","37"
"12/20/2020","78","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","8","23","3","31","78","39"
"12/21/2020","76","PM2.5","ChelmsfordNR","25-017-0010","AQS","9","17","3","24","76","31"
"12/22/2020","53","PM2.5","Brockton Buckley","25-023-0005","AQS","8","30","3","12","53","32"
"12/23/2020","39","NO2","VON HILLERN ST","25-025-0044","AQS","7","29","3","19","36","39"
"12/24/2020","47","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","7","36","3","20","47","33"
"12/25/2020","50","PM2.5","PORTSMOUTH - PEIRCE ISLAND","33-015-0014","AQS","2","40","1","23","50","8"
"12/26/2020","33","PM2.5","","25-021-2004","AQS","2","26","1","7","33","13"
"12/27/2020","50","PM2.5","","25-021-2004","AQS","5","25","1","11","50","30"
"12/28/2020","52","PM2.5","Brockton Buckley","25-023-0005","AQS","6","29","1","15","52","31"
"12/29/2020","31","Ozone","CONSENTINO SCHOOL.","25-009-5005","AQS","3","31","3","10","30","23"
"12/30/2020","33","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","33","3","9","33","31"
"12/31/2020","33","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","31","3","7","33","23"
